location,Month-Year,new_cases
Azerbaijan,Jun-20,12030
Azerbaijan,Jul-20,14354
Azerbaijan,Aug-20,4557
Azerbaijan,Sep-20,3794
Azerbaijan,Oct-20,15040
Azerbaijan,Nov-20,65907
Azerbaijan,Dec-20,97524
Azerbaijan,Jan-21,11519
Azerbaijan,Feb-21,4318
Azerbaijan,Mar-21,27176
Azerbaijan,Apr-21,57396
Azerbaijan,May-21,14847
Azerbaijan,Jun-21,2091
Azerbaijan,Jul-21,7802
Azerbaijan,Aug-21,81042
Azerbaijan,Sep-21,59011
Azerbaijan,Oct-21,47468
Azerbaijan,Nov-21,56948
Azerbaijan,Dec-21,28629
Azerbaijan,Jan-22,41523
Azerbaijan,Feb-22,127200
Azerbaijan,Mar-22,6262
Azerbaijan,Apr-22,655
Azerbaijan,May-22,205
Azerbaijan,Jun-22,409
Azerbaijan,Jul-22,5662
Azerbaijan,Aug-22,14599
Azerbaijan,Sep-22,8003
Azerbaijan,Oct-22,1818
Azerbaijan,Nov-22,1079
Azerbaijan,Dec-22,2064
Azerbaijan,Jan-23,1543
Azerbaijan,Feb-23,39
Bahamas,Mar-20,14
Bahamas,Apr-20,67
Bahamas,May-20,21
Bahamas,Jun-20,2
Bahamas,Jul-20,470
Bahamas,Aug-20,1643
Bahamas,Sep-20,1906
Bahamas,Oct-20,2591
Bahamas,Nov-20,827
Bahamas,Dec-20,330
Bahamas,Jan-21,303
Bahamas,Feb-21,345
Bahamas,Mar-21,600
Bahamas,Apr-21,1334
Bahamas,May-21,1343
Bahamas,Jun-21,790
Bahamas,Jul-21,2254
Bahamas,Aug-21,3299
Bahamas,Sep-21,2845
Bahamas,Oct-21,1367
Bahamas,Nov-21,488
Bahamas,Dec-21,1685
Bahamas,Jan-22,8086
Bahamas,Feb-22,573
Bahamas,Mar-22,148
Bahamas,Apr-22,275
Bahamas,May-22,1201
Bahamas,Jun-22,1216
Bahamas,Jul-22,749
Bahamas,Aug-22,351
Bahamas,Sep-22,215
Bahamas,Oct-22,96
Bahamas,Nov-22,97
Bahamas,Dec-22,8
Bahamas,Jan-23,0
Bahamas,Feb-23,0
Bahrain,Feb-20,41
Bahrain,Mar-20,526
Bahrain,Apr-20,2473
Bahrain,May-20,8358
Bahrain,Jun-20,15360
Bahrain,Jul-20,14224
Bahrain,Aug-20,10990
Bahrain,Sep-20,18892
Bahrain,Oct-20,10781
Bahrain,Nov-20,5311
Bahrain,Dec-20,5719
Bahrain,Jan-21,10382
Bahrain,Feb-21,19337
Bahrain,Mar-21,22051
Bahrain,Apr-21,32489
Bahrain,May-21,63597
Bahrain,Jun-21,25296
Bahrain,Jul-21,3359
Bahrain,Aug-21,3354
Bahrain,Sep-21,2517
Bahrain,Oct-21,1772
Bahrain,Nov-21,861
Bahrain,Dec-21,4372
Bahrain,Jan-22,92513
Bahrain,Feb-22,140308
Bahrain,Mar-22,39586
Bahrain,Apr-22,14237
Bahrain,May-22,16959
Bahrain,Jun-22,40191
Bahrain,Jul-22,33791
Bahrain,Aug-22,12050
Bahrain,Sep-22,8862
Bahrain,Oct-22,9628
Bahrain,Nov-22,6145
Bahrain,Dec-22,2405
Bahrain,Jan-23,1715
Bahrain,Feb-23,383
Bangladesh,Mar-20,51
Bangladesh,Apr-20,7616
Bangladesh,May-20,39486
Bangladesh,Jun-20,98330
Bangladesh,Jul-20,92178
Bangladesh,Aug-20,75335
Bangladesh,Sep-20,50483
Bangladesh,Oct-20,44205
Bangladesh,Nov-20,57248
Bangladesh,Dec-20,48578
Bangladesh,Jan-21,21629
Bangladesh,Feb-21,11077
Bangladesh,Mar-21,65079
Bangladesh,Apr-21,147837
Bangladesh,May-21,41408
Bangladesh,Jun-21,112718
Bangladesh,Jul-21,336226
Bangladesh,Aug-21,251134
Bangladesh,Sep-21,55293
Bangladesh,Oct-21,13628
Bangladesh,Nov-21,6745
Bangladesh,Dec-21,9255
Bangladesh,Jan-22,213294
Bangladesh,Feb-22,144744
Bangladesh,Mar-22,8000
Bangladesh,Apr-22,1114
Bangladesh,May-22,816
Bangladesh,Jun-22,20282
Bangladesh,Jul-22,31468
Bangladesh,Aug-22,6689
Bangladesh,Sep-22,13251
Bangladesh,Oct-22,10043
Bangladesh,Nov-22,1345
Bangladesh,Dec-22,540
Bangladesh,Jan-23,431
Bangladesh,Feb-23,12
Barbados,Mar-20,34
Barbados,Apr-20,47
Barbados,May-20,11
Barbados,Jun-20,5
Barbados,Jul-20,13
Barbados,Aug-20,64
Barbados,Sep-20,16
Barbados,Oct-20,47
Barbados,Nov-20,39
Barbados,Dec-20,107
Barbados,Jan-21,1162
Barbados,Feb-21,1523
Barbados,Mar-21,584
Barbados,Apr-21,203
Barbados,May-21,162
Barbados,Jun-21,64
Barbados,Jul-21,309
Barbados,Aug-21,642
